author,comment,likes
@manurathor-h3u,"@SamayRainaOfficial Bhai <a href=""http://www.youtube.com/results?search_query=%23namanarora"">#NAMANARORA</a> ko bulao lo yrr 🙌🏻😂",0
@golubholu7872,"This time it was all perfect panel, contents, humour, comic timing",0
@HarshitRathi-u3g,Bhai next episode kab release hogha ???,0
@sadatalsaud9825,"Just look at Alia&#39;s face everytime Samay promotes a product,,,😂😂",0
@NamanKeshri-k4q5e,Don&#39;t worry next episode Johnny sins and Comatose are going to appear 💀💀💀,0
@rajugurjar9455,Alia ke dance ke liye puri video dekh dali😂😂,1
@rabinpoudel1617,"Invite Avinash Agarwal (Trump) in IGL pannel, he is too good 😂",0
@ShivaniKushwahaa-g5j,episode 2 kab ayega yarr,0
@GrossGurlll_24,Sharvari has a personality,0
@Flyfact7-r6j,Is show ko gaali dene wale Gen z attendance idhar 😅✅✅✅,0
@Flyfact7-r6j,Jab ek famous actress Alia Bhatt SSO Mein jaaye Jahan per jaane ke liye akshy Kumar Salman Khan Jaise great  actor reject kar de to samajh Jana ki vah actress Bharat ke Sanskar bhul chuki hai,0
@avinashojha6892,Amazing show man ... Just amazing,0
@soumyadas854,Alia❤,0
@MarvelPratik,We want new not your type ...,0
@Rajanmarwaha0024,"<a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=3491"">58:11</a><br><br>Ashish tried to give high five but got ignored😅😅",0
@JosephRai-f1v,Fell so happy and proud for you bro ❤❤❤❤🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵,0
@junaidbabar8446,"Alia bhatt just watched the real acting <a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=2461"">41:01</a> 😂",0
@MOHAMMEDFAISAL-w9d,Waiting for next video,0
@junaidbabar8446,"<a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=1655"">27:35</a> this line proved bro&#39;s talent 🔥",0
@ujjavalojha,"Bhai ranveer alhabadi buttom for next episode,dogle fans ke liye👊",0
@tubermanish6773,Last scene ❤😂,0
@paramjit7,🎉,0
@HawaNizamani-y5c,Amazing 😂and entertaining show,0
@junaidbabar8446,Please limit the number of products on the table. It&#39;s too messy and distracting. Aik he mobile kafi tha yaar!,0
@junaidbabar8446,"What to know <a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=256"">4:16</a> cut 😅😂",0
@RijaSarkar-m5l,❤❤❤,0
@RijaSarkar-m5l,❤❤❤❤❤❤,0
@sunam2303,"next episode kab ayega?<br>latent 2 aneme jitna waiti karna para, iske lea eksath 7/8 episode release karneparvi kamhoga.",0
@artbyuzbi,❤❤❤,0
@jlkrofficial,Donald trump overshadowed Samay Raina 😂,0
@mrsameerst5511,Amazing yrr😂❤,0
@AarviSikri-d5j,binge watching latent at 4am is my new and favorite hobbyyy❤,0
@SohiniDatta-o3z,Mere Chai ki Tapri pe Sabki Nazarjaan hai. 💯,0
